0001SMITH    JOHN     19850315M123 MAIN STREET        SPRINGFIELD IL626014155512345672020011520231201PREMIUM A
0002JOHNSON  SARAH    19900722F456 OAK AVENUE         CHICAGO     IL606014155523456782019051020231201STANDARD A
0003DAVIS    MICHAEL  19781108M789 PINE ROAD          ROCKFORD    IL611014155534567892021032020231201PREMIUM A
0004WILSON   EMILY    19921203F321 ELM STREET         PEORIA      IL616024155545678902022081420231201BASIC   A
0005BROWN    DAVID    19880417M654 MAPLE LANE         AURORA      IL605024155556789012020110520231201STANDARDS
0006TAYLOR   JESSICA  19950925F987 CEDAR COURT        NAPERVILLE  IL605404155567890122023011220231201PREMIUM A
0007LEE      CHRISTOP 19820611M147 BIRCH BOULEVARD    JOLIET      IL604314155578901232019120820231201BASIC   I
0008GARCIA   AMANDA   19910130F258 WALNUT DRIVE       ELGIN       IL601204155589012342021072320231201STANDARD A
0009MARTINEZ JAMES    19871014M369 HICKORY PLACE      SCHAUMBURG  IL601734155590123452020041820231201PREMIUM A
0010ANDERSON RACHEL   19930807F741 SYCAMORE STREET    WAUKEGAN    IL600854155501234562022022820231201BASIC   A
